"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 20 03:19:40 MSK 2021","Sun Jun 20 03:19:51 MSK 2021","10950","selenium_course.stepik_lessons.module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Sun Jun 20 03:17:39 MSK 2021","Sun Jun 20 03:17:42 MSK 2021","2327","selenium_course.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Sun Jun 20 03:18:20 MSK 2021","Sun Jun 20 03:18:23 MSK 2021","2143","selenium_course.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_can_add_product_to_basket[offer8]",""
"passed","Sun Jun 20 03:16:52 MSK 2021","Sun Jun 20 03:16:53 MSK 2021","1109","selenium_course.stepik_lessons.module_5","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link",""
"passed","Sun Jun 20 03:18:26 MSK 2021","Sun Jun 20 03:18:28 MSK 2021","2231","selenium_course.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_can_add_product_to_basket[offer9]",""
"passed","Sun Jun 20 03:17:33 MSK 2021","Sun Jun 20 03:17:36 MSK 2021","3063","selenium_course.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_can_add_product_to_basket[offer0]",""
"passed","Sun Jun 20 03:20:01 MSK 2021","Sun Jun 20 03:20:03 MSK 2021","1952","selenium_course.stepik_lessons.module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"passed","Sun Jun 20 03:17:57 MSK 2021","Sun Jun 20 03:17:59 MSK 2021","2169","selenium_course.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_can_add_product_to_basket[offer4]",""
"skipped","Sun Jun 20 03:17:21 MSK 2021","Sun Jun 20 03:17:29 MSK 2021","8384","selenium_course.stepik_lessons.module_5","test_main_page","TestAddToBasketMessages","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sun Jun 20 03:17:06 MSK 2021","Sun Jun 20 03:17:17 MSK 2021","11845","selenium_course.stepik_lessons.module_5","test_main_page","TestAddToBasketMessages","","","test_guest_cant_see_success_message",""
"passed","Sun Jun 20 03:17:45 MSK 2021","Sun Jun 20 03:17:47 MSK 2021","2167","selenium_course.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Sun Jun 20 03:16:45 MSK 2021","Sun Jun 20 03:16:49 MSK 2021","3640","selenium_course.stepik_lessons.module_5","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sun Jun 20 03:18:09 MSK 2021","Sun Jun 20 03:18:11 MSK 2021","2090","selenium_course.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_can_add_product_to_basket[offer6]",""
"passed","Sun Jun 20 03:20:07 MSK 2021","Sun Jun 20 03:20:08 MSK 2021","1379","selenium_course.stepik_lessons.module_5","test_screenshots","","","","test_item_page_has_add_basket_button",""
"passed","Sun Jun 20 03:19:03 MSK 2021","Sun Jun 20 03:19:05 MSK 2021","1589","selenium_course.stepik_lessons.module_5","test_product_page","TestLoginFromProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Sun Jun 20 03:18:02 MSK 2021","Sun Jun 20 03:18:05 MSK 2021","3114","selenium_course.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_can_add_product_to_basket[offer5]",""
"skipped","Sun Jun 20 03:18:15 MSK 2021","Sun Jun 20 03:18:17 MSK 2021","2196","selenium_course.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Sun Jun 20 03:18:32 MSK 2021","Sun Jun 20 03:18:55 MSK 2021","22745","selenium_course.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sun Jun 20 03:17:51 MSK 2021","Sun Jun 20 03:17:53 MSK 2021","2165","selenium_course.stepik_lessons.module_5","test_main_page","TestMainPage","","","test_guest_can_add_product_to_basket[offer3]",""
"passed","Sun Jun 20 03:19:08 MSK 2021","Sun Jun 20 03:19:31 MSK 2021","22695","selenium_course.stepik_lessons.module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"skipped","Sun Jun 20 03:16:57 MSK 2021","Sun Jun 20 03:17:02 MSK 2021","4977","selenium_course.stepik_lessons.module_5","test_main_page","TestAddToBasketMessages","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sun Jun 20 03:18:58 MSK 2021","Sun Jun 20 03:18:59 MSK 2021","1134","selenium_course.stepik_lessons.module_5","test_product_page","TestLoginFromProductPage","","","test_guest_should_see_login_link_on_product_page",""
